District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Tai Hong Building,23/07/2022,
Central & Western,Wise Mansion,23/07/2022,
Central & Western,"Block 1, Academic Terrace",23/07/2022,
Central & Western,Macro Garden,23/07/2022,
Central & Western,Parkway Court,23/07/2022,
Central & Western,"Tower 1, The Belcher's",23/07/2022,
Central & Western,"Tower 8, The Belcher's",23/07/2022,
Central & Western,"Block A, Belcher Court",23/07/2022,
Central & Western,Belcher's Hill,23/07/2022,
Central & Western,Bowen Place,23/07/2022,
Central & Western,Sands Building,23/07/2022,
Central & Western,Sands House,23/07/2022,
Central & Western,"Tower 3, Queen's Terrace",23/07/2022,
Central & Western,Ping On Mansion,23/07/2022,
Central & Western,"Tower 2, Kwong Fung Terrace",23/07/2022,
Central & Western,Seymour,23/07/2022,
Central & Western,Ming Hing House,23/07/2022,
Central & Western,Fairview Mansion,23/07/2022,
Central & Western,Tung Lee Mansion,23/07/2022,
Central & Western,Tung Cheung Building,23/07/2022,
Central & Western,Mui Fong Apartments,23/07/2022,
Central & Western,"Tower 3, Robinson Heights",23/07/2022,
Central & Western,Flourish Court,23/07/2022,
Central & Western,"Block 1, The Merton",23/07/2022,
Central & Western,"Tower 1, Harbour View Garden",23/07/2022,
Central & Western,"Tower 3, Harbour View Garden",23/07/2022,
Central & Western,Hoi Tao Building,23/07/2022,
Central & Western,"Block A, Hoi Tao Building",23/07/2022,
Central & Western,Conrad Hong Kong,23/07/2022,
Central & Western,Yuen Fai Court,23/07/2022,
Central & Western,Centenary Mansion,23/07/2022,
Central & Western,269-275 Queen's Road West,23/07/2022,
Central & Western,"Tai Pak Court, Ying Ga Garden",23/07/2022,
Central & Western,"Block A, Yick Fung Garden",23/07/2022,
Central & Western,True Light Building,23/07/2022,
Central & Western,"Block C, Rhine Court",23/07/2022,
Central & Western,"Block 1, Smithfield Court",23/07/2022,
Central & Western,Merry Court,23/07/2022,
Central & Western,"Tower 1, University Heights",23/07/2022,
Central & Western,Westview Height,23/07/2022,
Central & Western,Luen Tak Apartments,23/07/2022,
Central & Western,Pokfield Garden,23/07/2022,
Central & Western,Wilton Place,23/07/2022,
Central & Western,Two ArtLane,23/07/2022,
Central & Western,Lan Kwai Fong Hotel,23/07/2022,
Central & Western,"East Terrace, Sai Wan Estate",23/07/2022,
Central & Western,"West Terrace, Sai Wan Estate",23/07/2022,
Central & Western,"Block F, Kwun Lung Lau",23/07/2022,
Central & Western,Yin Tak Building,23/07/2022,
Central & Western,Palatial Crest,23/07/2022,
Central & Western,The Bonham Mansion,23/07/2022,
Central & Western,Golden Lodge,23/07/2022,
Central & Western,Kingsland Court,23/07/2022,
Central & Western,Manhattan Heights,23/07/2022,
Central & Western,Ko Nga Court,23/07/2022,
Central & Western,Hung Cheong House,23/07/2022,
Central & Western,Beaudry Tower,23/07/2022,
Central & Western,"Block A, Tycoon Court",23/07/2022,
Central & Western,Lun Fung Court,23/07/2022,
Central & Western,Drangonview Court,23/07/2022,
Central & Western,"Tower 2, 63 Pokfulam",22/07/2022,
Central & Western,Mier,22/07/2022,
Central & Western,Kin Tye Lung Building,22/07/2022,
Central & Western,31-37 Lyttelton Road,22/07/2022,
Central & Western,"Block B, Namhung Mansion",22/07/2022,
Central & Western,23-25 Catchick Street,22/07/2022,
Central & Western,Tung Hing Mansion,22/07/2022,
Central & Western,"Block B, Ka On Building",22/07/2022,
Central & Western,Tai Ming Building,22/07/2022,
Central & Western,"Block 3, Academic Terrace",22/07/2022,
Central & Western,Hilary Court,22/07/2022,
Central & Western,Po Tak Mansion,22/07/2022,
Central & Western,Po Hing Mansion,22/07/2022,
Central & Western,"Tower 6, The Belcher's",22/07/2022,
Central & Western,Goodwill Garden,22/07/2022,
Central & Western,Hang Sing Mansion,22/07/2022,
Central & Western,Hamilton Court,22/07/2022,
Central & Western,Wai Wah Court,22/07/2022,
Central & Western,"Block 2, Vantage Park",22/07/2022,
Central & Western,Po Hing Court,22/07/2022,
Central & Western,Kingsfield Tower,22/07/2022,
Central & Western,Hill Court,22/07/2022,
Central & Western,Sunglow Building,22/07/2022,
Central & Western,Ryan Mansion,22/07/2022,
Central & Western,Hoi Ming Court,22/07/2022,
Central & Western,"Block B, Pearl Court",22/07/2022,
Central & Western,"Block 1, Centenary Mansion",22/07/2022,
Central & Western,"Block B, Yick Fung Garden",22/07/2022,
Central & Western,Honor Villa,22/07/2022,
Central & Western,Luen Wai Apartments,22/07/2022,
Central & Western,"Block 3, Garden Terrace",22/07/2022,
Central & Western,"Tower B, Hollywood Terrace",22/07/2022,
Central & Western,Wah Fai Court,22/07/2022,
Central & Western,4A Castle Lane,22/07/2022,
Central & Western,Soho 189,22/07/2022,
Central & Western,"North Terrace, Sai Wan Estate",22/07/2022,
Central & Western,32 Western Street,22/07/2022,
Central & Western,"Block 1, Kwun Lung Lau",22/07/2022,
Central & Western,Treasure Court,22/07/2022,
Central & Western,Kam Fai Mansion,22/07/2022,
Central & Western,Shun Fai Building,22/07/2022,
Central & Western,"Block 3, Connaught Garden",22/07/2022,
Central & Western,13 Aberdeen Street,22/07/2022,
Central & Western,Macdonnell House,22/07/2022,
Central & Western,Sum Way Mansion,21/07/2022,
Central & Western,Kiu Fat Building,21/07/2022,
Central & Western,Joyful Building,21/07/2022,
Central & Western,Lee Wai Building,21/07/2022,
Central & Western,Glory Heights,21/07/2022,
Central & Western,Corona Tower,21/07/2022,
Central & Western,Kellett View Town House,21/07/2022,
Central & Western,60 Victoria Road,21/07/2022,
Central & Western,Tin Hing Mansion,21/07/2022,
Central & Western,Yue On Building,21/07/2022,
Central & Western,Ibis Hong Kong Central & Sheung Wan Hotel,21/07/2022,
Central & Western,Fu Ga Building,21/07/2022,
Central & Western,iclub Sheung Wan Hotel,21/07/2022,
Central & Western,"Tower 2, The Belcher's",21/07/2022,
Central & Western,Elegance Court,21/07/2022,
Central & Western,"Tower 1, Queen'S Terrace",21/07/2022,
Central & Western,"Block B, Imperial Court",21/07/2022,
Central & Western,"Fung Shing Building, 168 Connaught Road West",21/07/2022,
Central & Western,"Block 1, Elegant Garden",21/07/2022,
Central & Western,"Block 2, Elegant Garden",21/07/2022,
Central & Western,Yee Fung Court,21/07/2022,
Central & Western,"Tower 1, Elegant Terrace",21/07/2022,
Central & Western,Mandarin Building,21/07/2022,
Central & Western,Lam's Building,21/07/2022,
Central & Western,To Li Garden,21/07/2022,
Central & Western,Wing Ga Building,21/07/2022,
Central & Western,"Phase 2, Blessings Garden",21/07/2022,
Central & Western,Winsing Building,21/07/2022,
Central & Western,"Block 3, The Merton",21/07/2022,
Central & Western,Full Harvest Building,21/07/2022,
Central & Western,Chester Court,21/07/2022,
Central & Western,Kings Court,21/07/2022,
Central & Western,"To Li Court, Ying Ga Garden",21/07/2022,
Central & Western,Fook Sing Court,21/07/2022,
Central & Western,"Block B, Rhine Court",21/07/2022,
Central & Western,Ivy On Belcher's,21/07/2022,
Central & Western,Upton,21/07/2022,
Central & Western,"Block 2, 80 Robinson Road",21/07/2022,
Central & Western,Luen Yau Apartments,21/07/2022,
Central & Western,Luen Hong Apartments,21/07/2022,
Central & Western,2 Old Peak Road,21/07/2022,
Central & Western,3 Chico Terrace,21/07/2022,
Central & Western,"Block 2, Garden Terrace",21/07/2022,
Central & Western,"Block A, Wah Ming Centre",21/07/2022,
Central & Western,Valverde,21/07/2022,
Central & Western,"Ivy Tower, Western Garden",21/07/2022,
Central & Western,Serene Court,21/07/2022,
Central & Western,"Block A, Kwun Lung Lau",21/07/2022,
Central & Western,"Block B, Kwun Lung Lau",21/07/2022,
Central & Western,Shun Tai Building,21/07/2022,
Central & Western,Tavistock,21/07/2022,
Central & Western,Tavistock II,21/07/2022,
Central & Western,Ko Shing Building,21/07/2022,
Central & Western,"Block 1, Dragonfair Garden",21/07/2022,
Central & Western,"Block B, New Fortune House",20/07/2022,
Central & Western,Viking Court,20/07/2022,
Central & Western,"Block B, La Clare Mansion",20/07/2022,
Central & Western,Cadogan,20/07/2022,
Central & Western,Conduit Tower,20/07/2022,
Central & Western,Wilmer Building,20/07/2022,
Central & Western,Grand Bowen,20/07/2022,
Central & Western,Hong Villa,20/07/2022,
Central & Western,408A-408B Des Voeux Road West,20/07/2022,
Central & Western,Hang Fai Building,20/07/2022,
Central & Western,14-16 Eastern Street,20/07/2022,
Central & Western,"Block A, Pearl Court",20/07/2022,
Central & Western,Mei Sun Lau,20/07/2022,
Central & Western,Tresend Garden,20/07/2022,
Central & Western,"Tower 2, Centrestage",20/07/2022,
Central & Western,"London Court, Realty Gardens",20/07/2022,
Central & Western,Liang Ga Building,20/07/2022,
Central & Western,Ying Fai Court,20/07/2022,
Central & Western,Lilian Court,20/07/2022,
Central & Western,Man Bond Building,20/07/2022,
Central & Western,Grand Fortune Mansion,20/07/2022,
Central & Western,Rich View Terrace,20/07/2022,
Central & Western,Pong Fai Building,20/07/2022,
Central & Western,Kam Ling Court,20/07/2022,
Central & Western,Ching Lin Court,20/07/2022,
Central & Western,Valiant Park,20/07/2022,
Central & Western,Branksome Grande,19/07/2022,
Central & Western,"Block B, Midland Centre",19/07/2022,
Central & Western,Lyttelton Garden,19/07/2022,
Central & Western,Panorama,19/07/2022,
Central & Western,Nan Hai Mansion,19/07/2022,
Central & Western,Hau Wo Building,19/07/2022,
Central & Western,Kennedy Town Building,19/07/2022,
Central & Western,124 Caine Road,19/07/2022,
Central & Western,"Po Tak Mansion, 85 Smithfield",19/07/2022,
Central & Western,5-6 Tai On Terrace,19/07/2022,
Central & Western,Tai Ping Mansion,19/07/2022,
Central & Western,On Shun Building,19/07/2022,
Central & Western,Ning Yeung Terrace,19/07/2022,
Central & Western,Bonham Court,19/07/2022,
Central & Western,Bowie Court,19/07/2022,
Central & Western,Altamira,19/07/2022,
Central & Western,16 Upper Station Street,19/07/2022,
Central & Western,"Tower 2, Queen's Terrace",19/07/2022,
Central & Western,Tuck Ga Building,19/07/2022,
Central & Western,Minerva House,19/07/2022,
Central & Western,Brilliant Court,19/07/2022,
Central & Western,Ming Fat House,19/07/2022,
Central & Western,Princeton Tower,19/07/2022,
Central & Western,The Hudson,19/07/2022,
Central & Western,Western Harbour Centre,19/07/2022,
Central & Western,Winsome Park,19/07/2022,
Central & Western,Silver Court,19/07/2022,
Central & Western,229 Queen's Road West,19/07/2022,
Central & Western,Jade Court,19/07/2022,
Central & Western,Luen On Apartments,19/07/2022,
Central & Western,"Tower A, Hollywood Terrace",19/07/2022,
Central & Western,Wah Lap House,19/07/2022,
Central & Western,One Artlane,19/07/2022,
Central & Western,Fung Yat Building,19/07/2022,
Central & Western,Excelsior Court,19/07/2022,
Central & Western,Golden Fair Mansion,19/07/2022,
Central & Western,17-19 Aberdeen Street,19/07/2022,
Central & Western,"Block 1, Cayman Rise",18/07/2022,
Central & Western,101 Belcher's Street,18/07/2022,
Central & Western,Nan Sang Building,18/07/2022,
Central & Western,Grand Scholar,18/07/2022,
Central & Western,Hau Wo Court,18/07/2022,
Central & Western,25 Catchick Street,18/07/2022,
Central & Western,Y.W.C.A. Headquarters,18/07/2022,
Central & Western,Bonham Crest,18/07/2022,
Central & Western,Merit Court,18/07/2022,
Central & Western,Casa Bella,18/07/2022,
Central & Western,Man Kwong Court,18/07/2022,
Central & Western,Cheong Kat Mansion,18/07/2022,
Central & Western,Tung Tze Terrace,18/07/2022,
Central & Western,Wing Sing Court,18/07/2022,
Central & Western,Evergreen Tower,18/07/2022,
Central & Western,Wing Hing House,18/07/2022,
Central & Western,Artisan House,18/07/2022,
Central & Western,"Block 2, Centenary Mansion",18/07/2022,
Central & Western,"Block B, The Fortune Gardens",18/07/2022,
Central & Western,"Tower 1, Island Crest",18/07/2022,
Central & Western,"Block A, Cape Mansions",18/07/2022,
Central & Western,"Tower 3, Novum West",18/07/2022,
Central & Western,College View Mansion,18/07/2022,
Central & Western,Lai On Building,18/07/2022,
Central & Western,Wah Ming House,18/07/2022,
Central & Western,Ramada Hong Kong Harbour View,18/07/2022,
Central & Western,Fung Yip Building,18/07/2022,
Central & Western,Golden Phoenix Court,18/07/2022,
Central & Western,Villa Elegance,18/07/2022,
Central & Western,"Morrison Hall, The University Of Hong Kong Jockey Club",18/07/2022,
Central & Western,Magazine Heights,18/07/2022,
Central & Western,Regent Height,18/07/2022,
Central & Western,Mini Hotel Central,17/07/2022,
Central & Western,Cayman Rise,17/07/2022,
Central & Western,"Block 1, Clovelly Court",17/07/2022,
Central & Western,Castle Villa,17/07/2022,
Central & Western,"Block A, Phase 3, Kwan Yick Building",17/07/2022,
Central & Western,Kennedy Town Centre,17/07/2022,
Central & Western,"Block A, Ning Yeung Terrace",17/07/2022,
Central & Western,Wellesley,17/07/2022,
Central & Western,Kin Liong Mansion,17/07/2022,
Central & Western,Des Voeux Building,17/07/2022,
Central & Western,Hang Yue Building,17/07/2022,
Central & Western,High West,17/07/2022,
Central & Western,Park Height,17/07/2022,
Central & Western,Wing Hing Commercial Building,17/07/2022,
Central & Western,Standard Mansion,17/07/2022,
Central & Western,Sea View Mansion,17/07/2022,
Central & Western,265 Queen's Road West,17/07/2022,
Central & Western,501 Queen's Road West,17/07/2022,
Central & Western,Fook Moon Building,17/07/2022,
Central & Western,31 Robinson Road,17/07/2022,
Central & Western,"Block 2, Smithfield Court",17/07/2022,
Central & Western,Tsui King Court,17/07/2022,
Central & Western,Jade Court,17/07/2022,
Central & Western,240 Hollywood Road,17/07/2022,
Central & Western,Wah Koon Building,17/07/2022,
Central & Western,Kam Hing Building,17/07/2022,
Central & Western,Kamwa Building,17/07/2022,
Central & Western,Lungga Mansion,17/07/2022,
Central & Western,Green Field Court,17/07/2022,
Central & Western,Weave Residence,16/07/2022,
Central & Western,Scholastic Garden,16/07/2022,
Central & Western,Nam Pak Hong Building,16/07/2022,
Central & Western,Tung Tat Building,16/07/2022,
Central & Western,"Block 3, The Grand Panorama",16/07/2022,
Central & Western,"Block A, Phase 2, Kwan Yick Building",16/07/2022,
Central & Western,Caineway Mansion,16/07/2022,
Central & Western,Centrepoint,16/07/2022,
Central & Western,Tak Lee Building,16/07/2022,
Central & Western,Scenic Rise,16/07/2022,
Central & Western,Mount Davis 33,16/07/2022,
Central & Western,Sun King House,16/07/2022,
Central & Western,"Tower 1, Hillsborough Court",16/07/2022,
Central & Western,14 Eastern Street,16/07/2022,
Central & Western,4 Eastern Street,16/07/2022,
Central & Western,Jing Tai Garden Mansion,16/07/2022,
Central & Western,Woodlands Court,16/07/2022,
Central & Western,Ying Pont Building,16/07/2022,
Central & Western,Wah Fai House,16/07/2022,
Central & Western,"Block 1, Peaksville",16/07/2022,
Central & Western,Primrose Court,16/07/2022,
Central & Western,"Block 2, Yue Sun Mansion",16/07/2022,
Central & Western,Overthorpe,16/07/2022,
Central & Western,"Tower 2, Euston Court",16/07/2022,
Central & Western,St. Louis Mansion,16/07/2022,
Central & Western,View Villa,16/07/2022,
Central & Western,Shun Hing Building,16/07/2022,
Central & Western,"Tower T2, Tavistock II",16/07/2022,
Central & Western,"Block 2, Connaught Garden",16/07/2022,
Central & Western,Goldwin Heights,16/07/2022,
Central & Western,The Babington,15/07/2022,
Central & Western,"Block 5, The Mount Austin",15/07/2022,
Central & Western,Chung Ah Building,15/07/2022,
Central & Western,Hau Fook Building,15/07/2022,
Central & Western,Four Seasons Place Hong Kong,15/07/2022,
Central & Western,"Block B, Phase 2, Kwan Yick Building",15/07/2022,
Central & Western,Whitty Street Court,15/07/2022,
Central & Western,17 Connaught Road West,15/07/2022,
Central & Western,Kwong Tak Building,15/07/2022,
Central & Western,191 Des Voeux Road West,15/07/2022,
Central & Western,New Start Building,15/07/2022,
Central & Western,Sussex Court,15/07/2022,
Central & Western,55 Conduit Road,15/07/2022,
Central & Western,168-170 Queen's Road West,15/07/2022,
Central & Western,28 Hillier Street,15/07/2022,
Central & Western,"Tower 1, Novum West",15/07/2022,
Central & Western,"Tower 1, Centrestage",15/07/2022,
Central & Western,"Venice Court, Reality Gardens",15/07/2022,
Central & Western,"Block M, Hing Wah Mansion",15/07/2022,
Central & Western,Hollywood Building,15/07/2022,
Central & Western,The Met. Sublime,15/07/2022,
Central & Western,Kam Kin Mansion,15/07/2022,
Central & Western,Kamcourt Building,15/07/2022,
Central & Western,The Kennedy On Belcher's,15/07/2022,
Central & Western,Hotel Jen Hong Kong,15/07/2022,
Central & Western,"Simon K Y Lee Hall, The University Of Hong Kong",15/07/2022,
Central & Western,Ovolo Hotel,14/07/2022,
Central & Western,29-31 Po Tuck Street,14/07/2022,
Central & Western,"Block A, Nam Hung Mansion",14/07/2022,
Central & Western,"Tower 3, Tregunter",14/07/2022,
Central & Western,West Grand Court,14/07/2022,
Central & Western,"Block B, Ning Yeung Terrace",14/07/2022,
Central & Western,"Block 2, Estoril Court",14/07/2022,
Central & Western,"Tower 2, Scenecliff",14/07/2022,
Central & Western,Sun Shing Mansion,14/07/2022,
Central & Western,"Tower 2, Hillsborough Court",14/07/2022,
Central & Western,"Fook Chak House, Tung Fai Gardens",14/07/2022,
Central & Western,"Tower 1, Robinson Heights",14/07/2022,
Central & Western,Arezzo,14/07/2022,
Central & Western,"Block B, Buxey Lodge",14/07/2022,
Central & Western,Fairmont Gardens,14/07/2022,
Central & Western,Luen Hing Apartments,14/07/2022,
Central & Western,Best Western Plus Hotel Hong Kong,14/07/2022,
Central & Western,Aigburth,14/07/2022,
Central & Western,Kam Fung Mansion,14/07/2022,
Central & Western,"New College, The University of Hong Kong Jockey Club Student Village III",14/07/2022,
Central & Western,Kennedy Mansion,13/07/2022,
Central & Western,8 Tai On Terrace,13/07/2022,
Central & Western,Yee Shun Mansion,13/07/2022,
Central & Western,New Central Mansion,13/07/2022,
Central & Western,"Tower 2, Robinson Heights",13/07/2022,
Central & Western,Sea View Mansion,13/07/2022,
Central & Western,Overseas Trust Bank Building,13/07/2022,
Central & Western,Belmont Court,13/07/2022,
Central & Western,House in Strawberry Hill,13/07/2022,
Central & Western,"Tower 5, Novum West",13/07/2022,
Central & Western,"Tower 2, University Heights",13/07/2022,
Central & Western,Luen Fat Apartments,13/07/2022,
Central & Western,18 Bonham Road,13/07/2022,
Central & Western,9 Man Yee Lane,13/07/2022,
Central & Western,Manifold Court,13/07/2022,
Central & Western,"Block A, Y Y Mansions",13/07/2022,
Central & Western,"Block B, Kam Ling Court",13/07/2022,
Central & Western,8 Tit Hong Lane,13/07/2022,
Central & Western,Shama Central Hong Kong,13/07/2022,
Central & Western,Courtyard By Marriott Hong Kong,13/07/2022,
Central & Western,Prosperous Height,12/07/2022,
Central & Western,Caine Mansion,12/07/2022,
Central & Western,Po Garden,12/07/2022,
Central & Western,Hillview Garden,12/07/2022,
Central & Western,Conway Mansion,12/07/2022,
Central & Western,146 Bonham Strand,12/07/2022,
Central & Western,Cheong Wan Mansion,12/07/2022,
Central & Western,Yip Cheong Building,12/07/2022,
Central & Western,"Block 1, Yuk Ming Towers",12/07/2022,
Central & Western,305 Queen's Road West,12/07/2022,
Central & Western,326 Queen's Road West,12/07/2022,
Central & Western,Fook Wah Mansions,12/07/2022,
Central & Western,Elegant Garden,12/07/2022,
Central & Western,Kingearn Building,12/07/2022,
Central & Western,Woodland Gardens,12/07/2022,
Central & Western,Regal Crest,12/07/2022,
Central & Western,"Block 1, Yue Sun Mansion",12/07/2022,
Central & Western,"Tower 1, Euston Court",12/07/2022,
Central & Western,Sik On House,12/07/2022,
Central & Western,Cimbria Court,12/07/2022,
Central & Western,Kam Lei Building,12/07/2022,
Central & Western,Grandview Garden,12/07/2022,
Central & Western,JW Marriott Hotel Hong Kong,12/07/2022,
Central & Western,"Chi Sun College, The University Of Hong Kong Jockey Club Student Village 3",12/07/2022,
Central & Western,16 High Street,12/07/2022,
Central & Western,Seymour Place,11/07/2022,
Central & Western,Nam Wah Mansion,11/07/2022,
Central & Western,"Block 5, The Grand Panorama",11/07/2022,
Central & Western,410 Victoria Road,11/07/2022,
Central & Western,Pacific Place Apartments,11/07/2022,
Central & Western,"Block 1, Scenic Heights",11/07/2022,
Central & Western,"Tower 3, The Belcher's",11/07/2022,
Central & Western,Fairlane Tower,11/07/2022,
Central & Western,Chin Hom Court,11/07/2022,
Central & Western,Town Place Soho,11/07/2022,
Central & Western,"Block 1, Scenic Garden",11/07/2022,
Central & Western,Markfield Building,11/07/2022,
Central & Western,Luen Tak Building,11/07/2022,
Eastern,Island Residence,24/07/2022,
Eastern,"Block 5, Tanner Garden",24/07/2022,
Eastern,"Block B, Yen Lok Building",24/07/2022,
Eastern,"Hong Chi Court, Healthy Village",24/07/2022,
Eastern,"Block B, Kiu Kwan Mansion",24/07/2022,
Eastern,Kiu Fai Mansion,24/07/2022,
Eastern,North Point Mansion,24/07/2022,
Eastern,Nam Wah Building,24/07/2022,
Eastern,"Block 10, Nan Fung Sun Chuen",24/07/2022,
Eastern,"Block 11, Nan Fung Sun Chuen",24/07/2022,
Eastern,"Block 12, Nan Fung Sun Chuen",24/07/2022,
Eastern,"Block 5, Nan Fung Sun Chuen",24/07/2022,
Eastern,Novum Point,24/07/2022,
Eastern,"Block 10, Provident Centre",24/07/2022,
Eastern,"Tower 1, Grand Promenade",24/07/2022,
Eastern,"Block A, Carson Mansion",24/07/2022,
Eastern,Casio Mansion,24/07/2022,
Eastern,"Block 14, City Garden",24/07/2022,
Eastern,"Block 1, City Garden",24/07/2022,
Eastern,"Block 2, City Garden",24/07/2022,
Eastern,Chaton House,24/07/2022,
Eastern,"Fu Tien Mansion, Taikoo Shing",24/07/2022,
Eastern,"Ning On Mansion, Taikoo Shing",24/07/2022,
Eastern,"Po On Mansion, Taikoo Shing",24/07/2022,
Eastern,"Tung Hoi Mansion, Taikoo Shing",24/07/2022,
Eastern,"Wah Shan Mansion, Taikoo Shing",24/07/2022,
Eastern,"Wai Sing Mansion, Taikoo Shing",24/07/2022,
Eastern,"Juniper Mansion, Taikoo Shing",24/07/2022,
Eastern,"Foong Shan Mansion, Taikoo Shing",24/07/2022,
Eastern,Tai Hing House,24/07/2022,
Eastern,"Tak Luk House, Walton Estate",24/07/2022,
Eastern,"Tak Fook House, Walton Estate",24/07/2022,
Eastern,"Block 6, Fullview Garden",24/07/2022,
Eastern,"Block 7, Fullview Garden",24/07/2022,
Eastern,"Block 8, Fullview Garden",24/07/2022,
Eastern,"Block 9, Fullview Garden",24/07/2022,
Eastern,"Block 2, Harmony Garden",24/07/2022,
Eastern,"Block 3, Harmony Garden",24/07/2022,
Eastern,"Fu Kar Court, Fortress Garden",24/07/2022,
Eastern,"Block 1, Beverley Heights",24/07/2022,
Eastern,Po Lee Building,24/07/2022,
Eastern,"Sui Hei House, Siu Sai Wan Estate",24/07/2022,
Eastern,"Sui Fu House, Siu Sai Wan Estate",24/07/2022,
Eastern,"Sui Lok House, Siu Sai Wan Estate",24/07/2022,
Eastern,"Sui Fat House, Siu Sai Wan Estate",24/07/2022,
Eastern,"Sui Fuk House, Siu Sai Wan Estate",24/07/2022,
Eastern,"Sui Lung House, Siu Sai Wan Estate",24/07/2022,
Eastern,"Hiu Fung House, Fung Wah Estate",24/07/2022,
Eastern,"Block E, Perfect Mount Gardens",24/07/2022,
Eastern,"Block 1, Kornhill Gardens",24/07/2022,
Eastern,"Block 5, Kornhill Gardens",24/07/2022,
Eastern,"Block 7, Kornhill Gardens",24/07/2022,
Eastern,"Block B, Kornhill",24/07/2022,
Eastern,"Block C, Kornhill",24/07/2022,
Eastern,"Block D, Kornhill",24/07/2022,
Eastern,"Block E, Kornhill",24/07/2022,
Eastern,"Block F, Kornhill",24/07/2022,
Eastern,"Block L, Kornhill",24/07/2022,
Eastern,"Block N, Kornhill",24/07/2022,
Eastern,"Block R, Kornhill",24/07/2022,
Eastern,Cumine Court,24/07/2022,
Eastern,"Block B, Mount Parker Lodge",24/07/2022,
Eastern,"Tower B, Fortress Metro Tower",24/07/2022,
Eastern,"Tower 6, Greenwood Terrace",24/07/2022,
Eastern,"Tower 1, Kornville",24/07/2022,
Eastern,Tak Lee Building,24/07/2022,
